"name","code","short","division","domain","optaID","colors.primary","colors.secondary","colors.tertiary","stadium_name","stadium_sponsor_name","capacity","capacity_seated","pitch.dimensions","pitch.type","address","postcode","station","fa_membership","kit.home.shirts","kit.home.shorts","kit.home.socks","kit.away.shirts","kit.away.shorts","kit.away.socks","kit.gk.first","kit.gk.second","sponsors.main_club","sponsors.main_shirt","sponsors.left_sleeve"
"Gateshead","GAT","Gateshead","National","gateshead-fc.com","t447","#E6E6E6","#000000","#000000","Gateshead International Stadium","","11800","3271","100m X 64m","Grass","Gateshead, Tyne and Wear","NE10 0EF","Gateshead","Member of the Durham FA","White/Black","Light Blue","Light Blue","Sky Blue/Claret","Claret","Claret","Mint Green","Pink","Gateshead Central Taxis","Gateshead Central Taxis","Team Valley Group"
"Hartlepool United","HAR","Hartlepool","National","hartlepoolunited.co.uk","t89","#304B99","#FFFFFF","#FFFFFF","Victoria Park","The Prestige Group Stadium","7856","4226","112y x 76y","Grass","Clarence Road, Hartlepool","TS24 8BZ","Hartlepool","Member of the Durham FA","White/Blue","Blue","Blue","Orange and Blue","Orange","Orange","Teal","Purple","The Prestige Group","",""
"Morecambe","MOR","Morecambe","National","morecambefc.com","t286","#981915","#FFFFFF","#FFFFFF","Globe Arena","Mazuma Mobile Stadium","6476","2207","110.4y x 72.17y","Grass","Christie Way, Morecambe","LA4 4TB","Morecambe","Member of the Lancashire FA","Red & Black Stripes","White","Black","Stone","Black","Stone","Yellow","Blue","LBD","Coolwave","Aqua Engineering"
"Rochdale","ROC","Rochdale","National","rochdaleafc.co.uk","t82","#344B97","#FFFFFF","#FFFFFF","Spotland","Crown Oil Arena","10249","8029","114y x 76y","Grass","Sandy Lane, Rochdale, Greater Manchester","OL11 5DR","Rochdale","Member of the Lancashire FA","Blue","Blue","Blue","White / Black Stripe","White","White","Pink","Yellow","Crown Oil","Crown Oil","HY Solicitors"
"Scunthorpe United","SCU","Scunthorpe","National","scunthorpe-united.co.uk","t93","#759BB3","#8B2942","#8B2942","Glanford Park","Attis Arena","9088","6288","100y x 65y","Grass","Jack Brownsword Way, Scunthorpe","DN15 8TD","Scunthorpe","Member of the Lincolnshire FA","Claret & blue","Blue","Claret","White & claret","Navy","White","Green","Purple","Attis Insurance","HITEK","Mortz"
"Solihull Moors","SOL","Solihull","National","solihullmoorsfc.co.uk","t1493","#F0E000","#1A2A4A","#1A2A4A","Damson Park","","5500","1430","101m x 64m","Grass","Damson Parkway, Solihull, West Midlands","B92 9EJ","Solihull","Member of the Birmingham FA","Yellow","Blue","Blue","Black","Black","Black","Orange","Lilac","Jerroms / MAN Commercial","",""
"Southend United","SOU","Southend","National","southendunited.co.uk","t81","#0F3E7A","#FFFFFF","#FFFFFF","Roots Hall","","12392","10502","110y x 74y","Grass","Victoria Avenue, Southend-on-Sea, Essex","SS2 6NQ","Southend Central / Southend Victoria","Member of the Essex FA","Navy","Navy","White","Yellow","Yellow","Navy","Green","Grey","C2C","",""
"Sutton United","SUT","Sutton","National","suttonunited.net","t296","#F2BD2F","#000000","#000000","Gander Green Lane","VBS Community Stadium","5013","1001","110y x 70y","Grass","Gander Green Lane, Sutton","SM1 2EY","West Sutton","Member of the Surrey FA","Amber","Amber","Amber","Black","Black","Black","Pink","Blue","Telsa Media","",""
"Tamworth","TAM","Tamworth","National","tamworthfc.co.uk","t1169","#D92C3A","#FFFFFF","#FFFFFF","The Lamb Ground","","4565","518","100m x 67m","Artificial-FIFA Quality PRO","Kettlebrook Road, Tamworth, Staffordshire","B77 1AA","Tamworth","Member of the Birmingham FA","Red and Black","Red and Black","Red and Black","Sky Blue and Orange","Sky Blue and White","White and Sky Blue","Orange","Yellow","Altair Group","Altair Group","Altair Group"
"Truro City","TRU","Truro","National","trurocity.co.uk","t3419","#C13136","#FFFFFF","#FFFFFF","Truro City Stadium","","3000","750","100y x 68y","Grass","West Langarth, Threemilestone, Truro","TR4 9AN","Truro","Member of the Cornwall FA","Red & Black stripes","Black","Red","White, red trim","White, red trim","White","Yellow","Green","","Jacuzzi Group","Flo Cornwall"
"Wealdstone","WEA","Wealdstone","National","wealdstone-fc.com","t3096","#2469A8","#FFFFFF","#FFFFFF","Grosvenor Vale","","4085","623","110y x 73y","Grass","Grosvenor Vale, Ruislip, Middlesex","HA4 6JQ","Ruislip Gardens","Member of the Middlesex FA","Royal Blue with White &","White","Blue","Yellow","Blue","white or Blue","Yellow & Orange Splashes","Purple","GPF Lewis","Brunel University","GPF Lewis"
