# Pipe-separated new-season roster (authoritative) supplied 2026-06-09.
# Fields: name|division|lat|lng|code|domain|nickname|short|address|postcode
Folkestone Invicta|South|51.086549991601935|1.1594822809593004|FOL|folkestoneinvictafc.co.uk|The Seasiders|Folkestone|Cheriton Road, Folkestone|CT19 5JU
Hampton & Richmond Borough|South|51.415193506959916|-0.3632426563535282|HRB|hamptonfc.net|The Beavers|Hampton & RB|Beveree Stadium, London (Hampton)|TW12 2BX
Hemel Hempstead Town|South|51.75388041166144|-0.44436798006539585|HHT|hemelfc.com|The Tudors|Hemel Hempstead|Vauxhall Road, Hemel Hempstead|HP2 4LN
Horsham|South|51.04689948940061|-0.34068347036137214|HRS|horshamfc.co.uk|The Hornets|Horsham|The Camping World Community Stadium, Horsham|RH13 0AD
Maidenhead United|South|51.519890809785124|-0.7179697215280573|MHU|maidenheadunitedfc.org|The Magpies|Maidenhead|York Road, Maidenhead|SL6 1SF
Maidstone United|South|51.280027207405055|0.5160990205909805|MSU|maidstoneunited.co.uk|The Stones|Maidstone|Gallagher Stadium, Maidstone|ME14 1LQ
Salisbury|South|51.104346015010144|-1.785748402394707|SAL|salisburyfc.co.uk|The Whites|Salisbury|Raymond McEnhill Stadium, Salisbury|SP4 6PU
Slough Town|South|51.51985774179117|-0.5883425683302114|SLO|sloughtownfc.net|The Rebels|Slough|Arbour Park, Slough|SL1 5QF
Tonbridge Angels|South|51.211534869302646|0.2690992267396866|TON|tonbridgeangelsonline.co.uk|The Angels|Tonbridge|Longmead Stadium, Tonbridge|TN10 3JF
Torquay United|South|50.47641503195807|-3.5238434454381506|TOR|torquayunited.com|The Gulls|Torquay|Plainmoor, Torquay|TQ1 3PS
Truro City|South|50.267667465835075|-5.123483753103922|TRU|trurocity.co.uk|The Tinners|Truro|Truro City Stadium, Truro|TR4 9AN
Walton & Hersham|South|51.39911047541884|-0.409668883804257|WAH|waltonhershamfc.com|The Swans|Walton & Hersham|Elmbridge Xcel Sports Hub, Walton-on-Thames|KT12 2JP
Weston-super-Mare|South|51.33065815544836|-2.956070185351023|WSM|westonsupermareafc.co.uk|The Seagulls|Weston-s-Mare|Woodspring Stadium, Weston-super-Mare|BS24 9AA
